endpoint,id,type,field,chars,russian_text
timeline,12,,description,269,"2022 год стал для компании годом больших перемен и амбиций. В этом году открылся новый завод Ирускон площадью 12 000 м² с производственной мощностью 1700 тонн в месяц. Экспортные продажи выросли до $1,6 миллиона, и компания уверенно закрепилась на международных рынках."
timeline,1,,title,32,Первое оборудование и сотрудники
timeline,1,,description,352,"Только спустя 2 года появилась возможность приобрести тестомес и нанять первых сотрудников. После этого появился командный дух, а в воздухе витал запах свежеиспечённого хлеба и новых возможностей. Спустя еще год принимаем решение производить кондитерские изделия, ассортимент был не большой (печенье, булочные изделия), территория производства 70 м²."
product-info,1,,title,64,<p>Мы каждый день стремимся сделать работу в Deya комфортной</p>
product-info,1,,description,719,"<p>Мы верим, что залогом нашего успеха являются прекрасная рабочая атмосфера, сплоченные команды и потенциал наших сотрудников.<br><br>Став сотрудником Deya, вы станете частью команды, где ваш труд, преданность делу и талант будут вознаграждены. Каждый день мы стремимся стать лучше, чем были вчера, — поэтому мы всегда заботимся о вашем потенциале и развитии. Инвестируя в наших сотрудников, мы уверены, что вместе мы добьемся успеха.</p><p>Мы обещаем динамичную рабочую атмосферу и корпоративную культуру, где сотрудничество, развитие и результат — основа нашей работы. Если вы мечтаете вывести свою карьеру на новый уровень, работа в Deya идеально вам подходит. Ждём с нетерпением, когда вы присоединитесь к нам!</p>"
product-info,2,,title,80,<p>Наш динамичный рост обусловлен слаженной и преданной своему делу командой</p>
product-info,2,,description,534,"<p>Мы верим, что наши сотрудники — ключ к нашему успеху. Именно поэтому мы предоставляем им многочисленные возможности для развития. Когда развиваются наши сотрудники, развиваемся и мы.</p><p>Мы стремимся создать привлекательное рабочее место, куда наши сотрудники приходят с удовольствием каждый день. Мы также гордимся тем, что поощряем преданность делу и усилия наших коллег, предлагая возможности для развития и привлекательную систему бонусов. Работая в Deya, вы откроете для себя множество возможностей для карьерного роста.</p>"
banners,1,partner,title,20,Как стать партнёром?
banners,1,partner,subtitle,133,"Если вы поставщик сырья или желаете приобрести нашу продукцию, заполните форму ниже по кнопке и мы свяжемся с вами в ближайшее время."
banners,2,main,title,25,Кондитерская фабрика Deya
banners,2,main,subtitle,101,"Мы заново открываем историю вкуса и создаём сладости, которые любят в Узбекистане и за его пределами."
banners,3,main,title,26,Конфеты вафельные «Apachi»
banners,3,main,subtitle,117,"Вкусный и сытный перекус, который сочетает хрустящие вафли и насыщенный вкус арахисовой начинки с молочной карамелью."
banners,4,carrier,title,25,Присоединяйтесь к Deya en
banners,4,carrier,subtitle,129,"Добро пожаловать в Deya Group. Мы — динамичная и амбициозная семейная группа компаний, которая растёт и развивается год за годом."
banners,5,main,title,25,Кондитерская фабрика Deya
banners,5,main,subtitle,101,"Мы заново открываем историю вкуса и создаём сладости, которые любят в Узбекистане и за его пределами."
banners,6,about,title,209,"Кондитерская фабрика DEYA начала работу в 1994 году. Сегодня это одно из крупнейших производств Узбекистана, выпускающее более 200 наименований продукции и экспортирующее сладости в более чем 25 стран мира. ru"
banners,6,about,cta_label,209,"Кондитерская фабрика DEYA начала работу в 1994 году. Сегодня это одно из крупнейших производств Узбекистана, выпускающее более 200 наименований продукции и экспортирующее сладости в более чем 25 стран мира. en"
banners,8,sub_main,title,176,Мы компания инновационного подхода и высокого качества. Предприятие выпускает продукцию на высокотехнологичном оборудовании от ведущих турецких и европейских производителей. ru
banners,8,sub_main,cta_label,177,Мы компания инновационного подхода и высокого качества. Предприятие выпускает продукцию на высокотехнологичном оборудовании от ведущих турецких и европейских производителей. en
banners,9,sub_main_map,title,92,Экспортируем качество и вкус в более чем 25 стран — география международных поставок DEYA ru
banners,9,sub_main_map,cta_label,92,Экспортируем качество и вкус в более чем 25 стран — география международных поставок DEYA en
banners,11,about_title,title,46,"Создаём вкус, которому доверяют с 1994 года ru"
banners,11,about_title,cta_label,47,"Создаём вкус, которому доверяют с 1994 года eng"
banners,12,about_title,title,43,"Создаём вкус, которому доверяют с 1994 года"
